,time,rainfall
0,일시,1분 강수량(mm)
1055,2019-07-21 17:35,0
1060,2019-07-21 17:40,0
1065,2019-07-21 17:45,0
1070,2019-07-21 17:50,0
1075,2019-07-21 17:55,0
1080,2019-07-21 18:00,0
1085,2019-07-21 18:05,0
1090,2019-07-21 18:10,0
1095,2019-07-21 18:15,0
1100,2019-07-21 18:20,0
1105,2019-07-21 18:25,0
1110,2019-07-21 18:30,0
1115,2019-07-21 18:35,0
1120,2019-07-21 18:40,0
1125,2019-07-21 18:45,0
1130,2019-07-21 18:50,0
1135,2019-07-21 18:55,0
1140,2019-07-21 19:00,0
1145,2019-07-21 19:05,0
1150,2019-07-21 19:10,0
1155,2019-07-21 19:15,0
1160,2019-07-21 19:20,0
1165,2019-07-21 19:25,0
1170,2019-07-21 19:30,0
1175,2019-07-21 19:35,0
1180,2019-07-21 19:40,0
1185,2019-07-21 19:45,0
1190,2019-07-21 19:50,0
1195,2019-07-21 19:55,0
1200,2019-07-21 20:00,0
1205,2019-07-21 20:05,0
1210,2019-07-21 20:10,0
1215,2019-07-21 20:15,0
1220,2019-07-21 20:20,0
1225,2019-07-21 20:25,0
1230,2019-07-21 20:30,0
1235,2019-07-21 20:35,0
1240,2019-07-21 20:40,0
1245,2019-07-21 20:45,0
1250,2019-07-21 20:50,0
1255,2019-07-21 20:55,0
1260,2019-07-21 21:00,0
1265,2019-07-21 21:05,0
1270,2019-07-21 21:10,0
1275,2019-07-21 21:15,0
1280,2019-07-21 21:20,0
1285,2019-07-21 21:25,0
1290,2019-07-21 21:30,0
1295,2019-07-21 21:35,0
1300,2019-07-21 21:40,0
1305,2019-07-21 21:45,0
1310,2019-07-21 21:50,0
1315,2019-07-21 21:55,0
1320,2019-07-21 22:00,0
1325,2019-07-21 22:05,0
1330,2019-07-21 22:10,0
1335,2019-07-21 22:15,0
1340,2019-07-21 22:20,0
1345,2019-07-21 22:25,0
1350,2019-07-21 22:30,0
1355,2019-07-21 22:35,0
1360,2019-07-21 22:40,0
1365,2019-07-21 22:45,0
1370,2019-07-21 22:50,0
1375,2019-07-21 22:55,0
1380,2019-07-21 23:00,0
1385,2019-07-21 23:05,0
1390,2019-07-21 23:10,0
1395,2019-07-21 23:15,0
1400,2019-07-21 23:20,0
1405,2019-07-21 23:25,0
1410,2019-07-21 23:30,0
1415,2019-07-21 23:35,0
1420,2019-07-21 23:40,0
1425,2019-07-21 23:45,0
1430,2019-07-21 23:50,0
1435,2019-07-21 23:55,0
1440,2019-07-22 00:00,0
