,time,rainfall
0,일시,1분 강수량(mm)
5,2019-07-22 00:05,0
10,2019-07-22 00:10,0
15,2019-07-22 00:15,0
20,2019-07-22 00:20,0
25,2019-07-22 00:25,0
30,2019-07-22 00:30,0
35,2019-07-22 00:35,0
40,2019-07-22 00:40,0
45,2019-07-22 00:45,0
50,2019-07-22 00:50,0
55,2019-07-22 00:55,0
60,2019-07-22 01:00,0
65,2019-07-22 01:05,0
70,2019-07-22 01:10,0
75,2019-07-22 01:15,0
80,2019-07-22 01:20,0
85,2019-07-22 01:25,0
90,2019-07-22 01:30,0
95,2019-07-22 01:35,0
100,2019-07-22 01:40,0
105,2019-07-22 01:45,0
110,2019-07-22 01:50,0
115,2019-07-22 01:55,0
120,2019-07-22 02:00,0
125,2019-07-22 02:05,0
130,2019-07-22 02:10,0
135,2019-07-22 02:15,0
140,2019-07-22 02:20,0
145,2019-07-22 02:25,0
150,2019-07-22 02:30,0
155,2019-07-22 02:35,0
160,2019-07-22 02:40,0
165,2019-07-22 02:45,0
170,2019-07-22 02:50,0
175,2019-07-22 02:55,0
180,2019-07-22 03:00,0
185,2019-07-22 03:05,0
190,2019-07-22 03:10,0
195,2019-07-22 03:15,0
200,2019-07-22 03:20,0
205,2019-07-22 03:25,0
210,2019-07-22 03:30,0
215,2019-07-22 03:35,0
220,2019-07-22 03:40,0
225,2019-07-22 03:45,0
230,2019-07-22 03:50,0
235,2019-07-22 03:55,0
240,2019-07-22 04:00,0
245,2019-07-22 04:05,0
250,2019-07-22 04:10,0
255,2019-07-22 04:15,0
260,2019-07-22 04:20,0
265,2019-07-22 04:25,0
270,2019-07-22 04:30,0
275,2019-07-22 04:35,0
280,2019-07-22 04:40,0
285,2019-07-22 04:45,0
290,2019-07-22 04:50,0
295,2019-07-22 04:55,0
300,2019-07-22 05:00,0
305,2019-07-22 05:05,0
310,2019-07-22 05:10,0
315,2019-07-22 05:15,0
320,2019-07-22 05:20,0
325,2019-07-22 05:25,0
330,2019-07-22 05:30,0
335,2019-07-22 05:35,0
340,2019-07-22 05:40,0
345,2019-07-22 05:45,0
350,2019-07-22 05:50,0
355,2019-07-22 05:55,0
360,2019-07-22 06:00,0
365,2019-07-22 06:05,0
370,2019-07-22 06:10,0
375,2019-07-22 06:15,0
380,2019-07-22 06:20,0
385,2019-07-22 06:25,0
390,2019-07-22 06:30,0
395,2019-07-22 06:35,0
400,2019-07-22 06:40,0
405,2019-07-22 06:45,0
410,2019-07-22 06:50,0
415,2019-07-22 06:55,0
420,2019-07-22 07:00,0
425,2019-07-22 07:05,0
430,2019-07-22 07:10,0
435,2019-07-22 07:15,0
440,2019-07-22 07:20,0
445,2019-07-22 07:25,0
450,2019-07-22 07:30,0
455,2019-07-22 07:35,0
460,2019-07-22 07:40,0
465,2019-07-22 07:45,0
470,2019-07-22 07:50,0
475,2019-07-22 07:55,0
480,2019-07-22 08:00,0
485,2019-07-22 08:05,0
490,2019-07-22 08:10,0
495,2019-07-22 08:15,0
500,2019-07-22 08:20,0
505,2019-07-22 08:25,0
510,2019-07-22 08:30,0
515,2019-07-22 08:35,0
520,2019-07-22 08:40,0
525,2019-07-22 08:45,0
530,2019-07-22 08:50,0
535,2019-07-22 08:55,0
540,2019-07-22 09:00,0
545,2019-07-22 09:05,0
550,2019-07-22 09:10,0
555,2019-07-22 09:15,0
560,2019-07-22 09:20,0
565,2019-07-22 09:25,0
570,2019-07-22 09:30,0
575,2019-07-22 09:35,0
580,2019-07-22 09:40,0
585,2019-07-22 09:45,0
590,2019-07-22 09:50,0
595,2019-07-22 18:26,0
600,2019-07-22 18:31,0
605,2019-07-22 18:36,0
610,2019-07-22 18:41,0
615,2019-07-22 18:46,0
620,2019-07-22 18:51,0
625,2019-07-22 18:56,0
630,2019-07-22 19:01,0
635,2019-07-22 19:06,0
640,2019-07-22 19:11,0
645,2019-07-22 19:16,0
650,2019-07-22 19:21,0
655,2019-07-22 19:26,0
660,2019-07-22 19:31,0
665,2019-07-22 19:36,0
670,2019-07-22 19:41,0
675,2019-07-22 19:46,0
680,2019-07-22 19:51,0
685,2019-07-22 19:56,0
690,2019-07-22 20:01,0
695,2019-07-22 20:06,0
700,2019-07-22 20:11,0
705,2019-07-22 20:16,0
710,2019-07-22 20:21,0
715,2019-07-22 20:26,0
720,2019-07-22 20:31,0
725,2019-07-22 20:36,0
730,2019-07-22 20:41,0
735,2019-07-22 20:46,0
740,2019-07-22 20:51,0
745,2019-07-22 20:56,0
750,2019-07-22 21:01,0
755,2019-07-22 21:06,0
760,2019-07-22 21:11,0
765,2019-07-22 21:16,0
770,2019-07-22 21:21,0
775,2019-07-22 21:26,0
780,2019-07-22 21:31,0
785,2019-07-22 21:36,0
790,2019-07-22 21:41,0
795,2019-07-22 21:46,0
800,2019-07-22 21:51,0
805,2019-07-22 21:56,0
810,2019-07-22 22:01,0
815,2019-07-22 22:06,0
820,2019-07-22 22:11,0
825,2019-07-22 22:16,0
830,2019-07-22 22:21,0
835,2019-07-22 22:26,0
840,2019-07-22 22:31,0
845,2019-07-22 22:36,0
850,2019-07-22 22:41,0
855,2019-07-22 22:46,0
860,2019-07-22 22:51,0
865,2019-07-22 22:56,0
870,2019-07-22 23:01,0
875,2019-07-22 23:06,0
880,2019-07-22 23:11,0
885,2019-07-22 23:16,0
890,2019-07-22 23:21,0
895,2019-07-22 23:26,0
900,2019-07-22 23:31,0
905,2019-07-22 23:36,0
910,2019-07-22 23:41,0
915,2019-07-22 23:46,0
920,2019-07-22 23:51,0
925,2019-07-22 23:56,0
