,,t1,n1,n2,n3
20190624,1200,89.42,88.32,96.37,80.43
20190624,1205,90.95,87.61,96.06,76.8
20190624,1210,87.82,86.33,95.45,71.93
20190624,1215,87.62,87.69,93.71,76.86
20190624,1220,85.44,89.75,96.05,75.59
20190624,1225,86.26,92.44,96.88,68.77
20190624,1230,85.03,92.08,94.7,62.21
20190624,1235,83.22,88.99,96.33,65.46
20190624,1240,84.67,90.47,97.52,70.46
20190624,1245,83.24,92.19,95.71,77.96
20190624,1250,83.11,92.72,94.4,77.53
20190624,1255,86.08,89.05,97.23,74.14
20190624,1300,86.37,91.59,98.89,77.04
20190624,1305,86.25,92.72,97.44,77.3
20190624,1310,86.03,94.09,96.49,69.64
20190624,1315,84.56,92.63,96.29,67.3
20190624,1320,83.37,93.85,96.92,61.58
20190624,1325,82.12,93.35,96.53,59.81
20190624,1330,82.18,94.14,95.89,60.63
20190624,1335,84.12,90.93,94.67,65.39
20190624,1340,84.34,92.29,94.77,64.22
20190624,1345,83.04,91.25,95.35,61.03
20190624,1350,82.95,90.04,93.06,55.06
20190624,1355,82.47,93.34,93.06,51.47
20190624,1400,85.14,93.18,95.84,56.26
20190624,1405,84.23,92.24,95.99,55.27
20190624,1410,80.68,89.83,94.8,60.8
20190624,1415,80.46,90.95,96.21,74.6
20190624,1420,80.21,91.26,96.26,75.91
20190624,1425,81.57,91.83,95.13,72.78
20190624,1430,82.71,90.72,93.85,76.81
20190624,1435,83.5,93.64,93.84,75.99
20190624,1440,83.78,91.31,93.66,74.12
20190624,1445,84,92.77,93.88,76.73
20190624,1450,81.6,93.65,95.78,77.49
20190624,1455,82.45,91.12,94.05,76.81
20190624,1500,85.7,92.15,94.8,74.91
20190624,1505,85.61,88.17,92.75,75.16
20190624,1510,83.96,90.6,92.43,71.29
20190624,1515,82.91,92.15,94.29,76.9
20190624,1520,83.73,92.85,94.71,77.87
20190624,1525,81.81,91.09,93.65,78.96
20190624,1530,83.35,92.82,95.13,81.14
20190624,1535,86.62,91.89,94.13,69.9
20190624,1540,86.53,96.03,92.55,68.86
20190624,1545,82.25,95.25,93.19,71.17
20190624,1550,81.52,91.99,95.69,76.81
20190624,1555,81.3,92.48,91.62,74.97
20190624,1600,81.7,92.05,94.49,76.56
20190624,1605,82.63,94.62,93.51,72.36
20190624,1610,81.81,94.83,92.77,79.16
20190624,1615,82.34,95.79,93.06,78.84
20190624,1620,83.22,94.43,93.34,70.97
20190624,1625,81.91,92.28,94.72,69.22
20190624,1630,80.66,95.75,94.39,70.68
20190624,1635,82.1,95.49,93.57,74.29
20190624,1640,82.45,92.94,93.83,69.78
20190624,1645,78.82,94.46,97.23,76.06
20190624,1650,80.8,93.55,93.01,76.37
20190624,1655,82.44,93.4,95.81,79.41
20190624,1700,82.04,94.68,92.72,73.7
20190624,1705,80.74,92.29,94.53,66.62
20190624,1710,76.7,94.82,94.81,67.95
20190624,1715,74.5,93.61,94.65,58.71
20190624,1720,65.77,91.38,95.68,57.96
20190624,1725,63.56,92.03,92.09,59.91
20190624,1730,64.39,94.45,93.03,60.33
20190624,1735,58.92,91.65,92.67,63.75
20190624,1740,55.63,88.57,93.97,61.85
20190624,1745,56.04,90.5,91.1,56.71
20190624,1750,57.41,92.4,90.57,46.5
20190624,1755,59.46,91.12,89.13,41.9
20190624,1800,63.54,95.79,85.61,45.77
20190624,1805,71.8,97.25,80.42,51.72
20190624,1810,77.07,96.6,84.65,56.27
20190624,1815,76.1,96.45,86.65,61.27
20190624,1820,77.97,98.05,84.44,70.24
20190624,1825,79.84,96.83,85.57,80.85
20190624,1830,71.95,96.48,87.43,77.44
20190624,1835,68.06,94.8,77.38,62.03
20190624,1840,70.03,97,74.76,43.6
20190624,1845,66.44,91.4,83.29,31.76
20190624,1850,70.8,96.06,75.31,29.97
20190624,1855,75.95,101.36,78.48,31.57
20190624,1900,76.04,99.26,84.29,58.25
20190624,1905,77.25,100.76,81.25,69.7
20190624,1910,77.4,99.7,83.9,81.11
20190624,1915,80.05,100.71,80.6,92.08
20190624,1920,87.14,100.28,89.75,94.2
20190624,1925,92.36,99,97.42,95.56
20190624,1930,94.62,99.57,98.8,91.79
20190624,1935,93.89,97.25,98.33,95.03
20190624,1940,94.43,96.67,96.86,91.32
20190624,1945,89.75,96.01,97.91,84.72
20190624,1950,89.12,98.23,97.08,85.62
20190624,1955,89.48,94.71,97.87,88.82
20190624,2000,87.5,95.7,97.5,89.35
20190624,2005,91.76,99.82,97.14,90.6
20190624,2010,88.82,97.73,96.22,85.03
20190624,2015,86.12,97.68,97.96,81.33
20190624,2020,86.24,97.75,96.76,81.9
20190624,2025,87.51,96.13,96.46,81.18
20190624,2030,87.76,94.36,95.38,79.04
20190624,2035,86.22,91.98,94.6,81.29
20190624,2040,86.75,92.48,96.81,80.75
20190624,2045,87.07,93.22,95.51,83.6
20190624,2050,89.11,93.03,95.56,81.08
20190624,2055,88.7,94.58,94.32,82.61
20190624,2100,92.81,94.68,94.98,85.25
20190624,2105,92.54,96.09,96.35,90.49
20190624,2110,92.94,94.65,96.09,88.19
20190624,2115,93.37,94.56,96.12,88.92
20190624,2120,92.34,94.93,97.53,89.21
20190624,2125,90.82,93.29,99.67,91
20190624,2130,91.43,97.1,96.18,88.99
20190624,2135,91.24,93.22,98.38,92.32
20190624,2140,92.8,96.09,98.28,94.96
20190624,2145,95.05,93.51,96.26,90.78
20190624,2150,91.72,97.79,95.95,92.84
20190624,2155,93.03,97.82,95.26,97.01
20190624,2200,95.62,96.3,96.45,91.89
20190624,2205,95.63,98.43,97.37,91.38
20190624,2210,96.82,95.48,100.1,89.34
20190624,2215,96.02,98.63,98.81,92.27
20190624,2220,96.07,95.24,98.99,95.93
20190624,2225,99.47,94.39,98.16,97.39
20190624,2230,99.48,97.35,98.06,99.63
20190624,2235,97.16,95.98,98.75,100.03
20190624,2240,97.53,99.05,99.3,101.83
20190624,2245,99.77,101.03,96.5,102.09
20190624,2250,100.38,100.66,97.72,95.42
20190624,2255,96.46,97.37,96.33,98.82
20190624,2300,97.57,95.18,98.77,96.44
20190624,2305,102.17,96.61,98.29,98.97
20190624,2310,101.19,97.34,98.62,98.17
20190624,2315,99.79,101.44,98.43,99.8
20190624,2320,100.49,100.49,97.47,101.06
20190624,2325,101.37,101.9,99.92,101.41
20190624,2330,102.76,99.93,97.16,102.5
20190624,2335,101.28,101.88,98.09,99.96
20190624,2340,101.63,100.25,96.7,102.14
20190624,2345,103.28,97.78,97.72,104.2
20190624,2350,103.19,100.96,97.24,103.55
20190624,2355,102.3,99.65,97.42,103.28
20190625,0,103.83,101.17,97.88,103.28
20190625,5,102.4,96.77,95.64,101.04
20190625,10,105.02,101.27,95.19,104.02
20190625,15,104.64,100.54,95.27,99.65
20190625,20,100.77,98.53,94.14,103.3
20190625,25,101.63,101.51,98.59,102.8
20190625,30,105.2,99.39,93.83,103.86
20190625,35,104.08,98.37,94.32,103.63
20190625,40,101.99,99.81,95.29,103.39
20190625,45,103.04,98.31,92.25,106.77
20190625,50,105.58,100.06,92.05,99.97
20190625,55,103.25,100.08,96.21,104.9
20190625,100,102.63,98.91,97.7,99.8
20190625,105,102.52,96.65,95.92,103.31
20190625,110,104.81,97.01,96.34,101.59
20190625,115,103.83,99.03,96.19,106.68
20190625,120,105.53,99.18,94.02,111.74
20190625,125,107.7,99.36,92.95,102.55
20190625,130,103.11,94.04,95.1,104.35
20190625,135,99.13,95.84,94.78,97.5
20190625,140,98.94,95.87,89.84,102.31
20190625,145,101.52,97.49,92.34,98.94
20190625,150,98.03,94.59,93.05,102.82
20190625,155,102.22,93.17,94.22,100.13
20190625,200,99.45,94.91,93.67,101.16
20190625,205,100.42,96.29,90.19,98.64
20190625,210,98.67,95.27,91.69,98.9
20190625,215,98.02,93.78,97.15,95.77
20190625,220,100.59,94.15,93.49,100.93
20190625,225,103.04,97.68,90.13,97.79
20190625,230,102.05,95.82,89.44,106.6
20190625,235,104.86,92.8,90.36,97.52
20190625,240,100.28,97.1,91.08,100.63
20190625,245,99.75,94.63,90.78,94.52
20190625,250,96.73,91.08,93.72,97.88
20190625,255,100.12,92.28,93.32,93.74
20190625,300,95.78,97,89.8,98.98
20190625,305,99.21,96.15,90.88,101.16
20190625,310,94.67,96.73,91.31,88.5
20190625,315,92.26,93.89,90.13,90.31
20190625,320,97.87,90.96,95.07,95.31
20190625,325,95.49,91.02,92.43,94.52
20190625,330,94.03,92.92,92.32,92.96
20190625,335,96.8,94.99,90.02,95.71
20190625,340,97.57,97.34,92.58,97.75
20190625,345,97.93,91.82,92.61,92.98
20190625,350,94.04,92.23,90.18,97.84
20190625,355,96.77,91.11,90.92,93.06
20190625,400,97.17,91.71,92.66,93.22
20190625,405,96.06,95.69,89.23,94.05
20190625,410,96.29,92.57,90.03,95.16
20190625,415,96.56,94.72,93.47,96.07
20190625,420,99.13,95.42,92.79,96.76
20190625,425,98.97,98.49,90.82,93.44
20190625,430,95.87,97.82,91.88,94.72
20190625,435,96.84,95.01,91.08,97.02
20190625,440,95.75,97.17,90.6,95.15
20190625,445,95.11,97.73,90.27,92.4
20190625,450,97.02,100.02,92.01,97.28
20190625,455,92.18,97.89,92.56,97.94
20190625,500,94.29,98.2,90.78,98.85
20190625,505,96.34,97.75,92.24,99.32
20190625,510,95.74,97.53,94.07,102.59
20190625,515,97.26,98.23,95.03,96.88
20190625,520,97.43,98.35,93.6,100.3
20190625,525,99.07,97.87,94.69,99.21
20190625,530,98.8,99.03,94.67,98.7
20190625,535,98.03,92.9,97.4,98.97
20190625,540,95.98,95.27,95.42,97.1
20190625,545,94.98,94.05,97.56,98.75
20190625,550,95.38,96.35,97.49,97.7
20190625,555,94.64,94.23,97.09,97.26
20190625,600,93.78,91.86,95.3,98.77
20190625,605,93.48,93.34,96.23,98.57
20190625,610,91.41,90.37,96.75,95.11
20190625,615,91.35,87.73,96.2,91.79
20190625,620,93.86,88.56,97.26,90.46
20190625,625,92.65,88.52,98.1,93.03
20190625,630,94.31,88.12,98.72,89.04
20190625,635,93.9,87.21,98.24,88.97
20190625,640,92.93,90.01,96.44,86.63
20190625,645,92.71,86.55,98.97,91.03
20190625,650,93.62,86.29,98.93,91.14
20190625,655,94.31,86.32,97.69,87.3
20190625,700,88.88,86.46,99.09,79.95
20190625,705,88.36,88.2,98.87,70.98
20190625,710,85.91,84.41,97.23,69.02
20190625,715,87.02,86.53,98.4,57.17
20190625,720,86.25,84.8,100.71,50.73
20190625,725,87.8,85.28,99.41,48.99
20190625,730,88.17,85.75,100.12,54.82
20190625,735,87.09,86.88,99.13,51.07
20190625,740,86.73,83.56,100.55,49.32
20190625,745,87.23,84.1,99.88,48.03
20190625,750,84.04,82.61,99.6,52.82
20190625,755,81.11,87.17,100.18,54.11
20190625,800,82.04,85.09,99.63,51.98
20190625,805,83.1,85.3,98.41,47.88
20190625,810,81.54,85.91,98.3,49.66
20190625,815,81.92,87.25,98.07,56.69
20190625,820,84.81,87.68,98.52,56.81
20190625,825,87.91,86.82,98.07,54.89
20190625,830,86.69,89.07,99.03,53.58
20190625,835,81.38,88.05,100.05,56.38
20190625,840,80.9,89.47,97.75,55.12
20190625,845,81.01,88.51,97.15,53.84
20190625,850,81.05,89.75,98.61,52.29
20190625,855,81.5,88.29,98.56,51.35
20190625,900,82.31,87.53,97.1,57.19
20190625,905,81.87,85.87,97.7,57.56
20190625,910,81.58,86.55,95.81,53.64
20190625,915,82.04,87.49,96.29,54.42
20190625,920,80.22,86.55,94.88,48.64
20190625,925,80.78,84.87,95.61,28.52
20190625,930,83.38,84.77,94.68,28.47
20190625,935,77.94,84.15,94.65,36.16
20190625,940,65.74,85.95,93.06,41.57
20190625,945,67.39,85.74,94.55,40.76
20190625,950,74.13,85.27,94.55,33.28
20190625,955,69.21,86.02,94.45,44.81
20190625,1000,75.82,83.43,93.6,52.91
20190625,1005,60.89,82.79,95.98,52.92
20190625,1010,57.46,81.98,96.22,36.16
20190625,1015,60.85,82.74,94.82,49.8
20190625,1020,56.77,82.96,92.22,52.68
20190625,1025,49.3,81.15,92.36,55.27
20190625,1030,52.99,80.04,94.96,54.2
20190625,1035,50.61,81.13,94.31,51.29
20190625,1040,50.89,82.6,94.24,52.45
20190625,1045,54.63,84.92,92.67,52.47
20190625,1050,54.08,85.05,94.35,55.7
20190625,1055,50.1,84.83,94.15,50.77
20190625,1100,38.76,85.33,94.18,54.72
20190625,1105,48.8,84.71,95.87,59.44
20190625,1110,56.63,84.04,96.61,55.18
20190625,1115,68.49,82.65,95.86,58.41
20190625,1120,82.78,84.31,96.04,53.56
20190625,1125,82.75,83.43,96.19,53.72
20190625,1130,85.18,85.65,94.46,60.77
20190625,1135,85.77,82.88,94.77,67.94
20190625,1140,86.51,86.79,95.66,71.46
20190625,1145,86.36,85.13,96.08,77.81
20190625,1150,87.42,84.21,95.01,79.36
20190625,1155,87.89,84.94,93.6,74.52
20190625,1200,86.6,85.43,93.46,70.64
20190625,1205,89.06,87.28,95.35,65.95
20190625,1210,87.27,86.84,95.8,63.15
20190625,1215,83.9,89.09,95.32,74.32
20190625,1220,74.01,90.31,94.94,78.88
20190625,1225,81.32,93.08,98.42,80.12
20190625,1230,87.88,88.44,96.72,70.72
20190625,1235,85.11,85.38,97.73,73.45
20190625,1240,86.16,90.23,94.75,72.73
20190625,1245,83.46,88.56,96.69,72.9
20190625,1250,84.65,88.83,96.2,78.77
20190625,1255,85.67,95.79,96.42,71.48
20190625,1300,83.54,93.4,97.51,68.68
20190625,1305,82.23,96.69,95.88,72.13
20190625,1310,84.3,94.9,95.91,79.49
20190625,1315,85.45,97.35,98.17,62.11
20190625,1320,83.77,98.72,94.7,56.33
20190625,1325,84.2,98.63,95.63,53.27
20190625,1330,83.29,100.46,95.4,53.23
20190625,1335,84.79,100.96,94.54,54.06
20190625,1340,85.82,100.17,96.09,48.85
20190625,1345,84.26,99.57,94.17,51.18
20190625,1350,86.01,98.64,93.55,48.62
20190625,1355,84.13,93.33,95.46,52.62
20190625,1400,81.86,88.81,94.55,53.09
20190625,1405,79.1,89.53,93.36,58
20190625,1410,77.8,88.79,93.57,54.39
20190625,1415,78.25,86.98,93.92,51.96
20190625,1420,80.08,77.79,93.87,58.27
20190625,1425,79.78,80.13,94.33,52.25
20190625,1430,79.27,90.44,93.91,52.66
20190625,1435,79.57,92.56,96.47,49.53
20190625,1440,79.23,92.66,94.62,48.37
20190625,1445,79.13,90.57,96.45,49.57
20190625,1450,78.62,93.22,94.62,57.46
20190625,1455,77.69,92.66,94.44,54.65
20190625,1500,78.06,87.4,94.13,57.18
20190625,1505,81.91,90.57,93.7,58.38
20190625,1510,80.72,91.39,94.15,57.7
20190625,1515,80.23,93.12,95.27,68.21
20190625,1520,80.2,92.16,93.78,62.88
20190625,1525,81.54,91.46,94.62,57.85
20190625,1530,79.94,94.61,94.74,54.04
20190625,1535,79.84,90.87,94.29,53.25
20190625,1540,81.86,93.84,95.03,53.03
20190625,1545,82.38,91.56,94.22,59.2
20190625,1550,80.33,92.76,93.76,58.62
20190625,1555,80.44,92.83,91.81,60.86
20190625,1600,80.62,91.7,91.73,66.88
20190625,1605,78.7,92.26,93.55,59.06
20190625,1610,74.62,91.1,93.36,59.5
20190625,1615,74.04,91.1,93.89,67.85
20190625,1620,75.5,92.02,94.4,61.41
20190625,1625,75.68,92.8,94.04,59.6
20190625,1630,78.84,92.49,94.75,64.42
20190625,1635,78.85,94.5,94.03,60.38
20190625,1640,77.94,92.11,94.84,55.44
20190625,1645,77.98,95.18,94.28,56.65
20190625,1650,75.59,96.78,94.7,57.21
20190625,1655,74.56,93.15,94.38,59.78
20190625,1700,73.68,93.2,94.93,59.56
20190625,1705,74.01,95.32,92.41,55.13
20190625,1710,75.2,96.55,90.91,58.67
20190625,1715,76.32,94.23,92.74,53.87
20190625,1720,73.29,96.59,93.93,52.6
20190625,1725,72.7,97.15,92.18,63.78
20190625,1730,74.34,94.75,86.58,62.46
20190625,1735,74.45,93.31,90.4,66.99
20190625,1740,74.91,92.8,89.64,88.67
20190625,1745,83.86,95.37,85.46,94.29
20190625,1750,92.39,97.99,89.23,81.77
20190625,1755,88.48,95.19,85.27,66.82
20190625,1800,82.45,96.59,87.04,56.03
20190625,1805,82.27,94.62,85.98,59.94
20190625,1810,80.97,93.25,84.72,62.26
20190625,1815,80.04,97.31,85.44,63.04
20190625,1820,81.45,95.54,80.19,59.93
20190625,1825,80.27,97.36,85.3,60.61
20190625,1830,79.37,99.09,85.64,58.07
20190625,1835,78.03,99.6,84.28,61.17
20190625,1840,82.22,99.52,84.77,61.27
20190625,1845,81.08,95.11,87.18,62.77
20190625,1850,79.51,88.98,86.11,59.18
20190625,1855,82.28,96.38,80.63,59.73
20190625,1900,85.16,97,85.78,65.5
20190625,1905,85.02,98.58,82.44,63.34
20190625,1910,80.73,98.66,87.26,62.93
20190625,1915,79.27,97.54,93.1,73.82
20190625,1920,82.71,98.56,93.84,81.36
