date,time,user_name,text,link,retweet_counts,favorite_counts,hashtags,GeoInformation
2020-08-01,00:09:19,ppuligipeun,"HWPL 이만희 대표, 1차에서 31차까지 7년여 해외순방을 한눈에 (출처 : 스마트한일.. | https://blog.naver.com/cats7177/221996877353 블로그) http://naver.me/x3Ob6rXb #HWPL#전쟁종식#평화협정#살상무기#필리핀#민다나오#이만희 대표#코로나19#종교#생명",https://twitter.com/ppuligipeun/status/1289352473707085824,0,0,,
2020-08-01,00:09:23,kang_shincheol,‘“백신 매년 맞아야 할 수도… 코로나19 예측불가” ,https://twitter.com/kang_shincheol/status/1289352490563956736,0,0,,
2020-08-01,00:09:37,ppuligipeun,HWPL 이만희 대표 중재로 평화 찾은 ‘민다나오’… ‘SBS일요다큐’ 2년만에 화제 (출처 : 작은다락방 | https://blog.naver.com/zoo00015/221980628010 블로그) http://naver.me/xtbVYIQU #HWPL#전쟁종식#평화협정#살상무기#필리핀#민다나오#이만희 대표#코로나19#종교#생명,https://twitter.com/ppuligipeun/status/1289352549846286336,0,0,,
2020-08-01,00:09:54,ppuligipeun,"HWPL 이만희 대표 중재로 평화 찾은 ‘민다나오’… SBS일요다큐 ‘평화, 멀지만 가야할 길˙ (출처 : ☆~좋은세.. | https://blog.naver.com/sheen2010/221984077344 블로그) http://naver.me/xbt7S4Cv #HWPL#전쟁종식#평화협정#살상무기#필리핀#민다나오#이만희 대표#코로나19#종교#생명",https://twitter.com/ppuligipeun/status/1289352619442360320,0,0,,
2020-08-01,00:10:27,ppuligipeun,빅뉴스! HWPL 이만희 대표 중재로 평화 찾은 ‘민다나오’… ‘SBS일요다큐’ 2년만에 화제 (출처 : 본래의 모.. | https://blog.naver.com/bwl153/221983407877 블로그) http://naver.me/GDELAz9o #HWPL#전쟁종식#평화협정#살상무기#필리핀#민다나오#이만희 대표#코로나19#종교#생명,https://twitter.com/ppuligipeun/status/1289352759909597184,0,0,,
2020-08-01,00:10:42,ppuligipeun,HWPL(대표 이만희) 광주 종교연합사무실에서 열린 경서비교토론회 ＂사후세계＂ (출처 : 써니다운 .. | https://blog.naver.com/ssunny1096/221797980402 블로그) http://naver.me/xayb9XCE #HWPL#전쟁종식#평화협정#살상무기#필리핀#민다나오#이만희 대표#코로나19#종교#생명,https://twitter.com/ppuligipeun/status/1289352821628788737,0,0,,
2020-08-01,00:10:58,ppuligipeun,"석양, 노을 이미지, HWPL 평화 이야기 (출처 : 시 Star˙s.. | https://blog.naver.com/sstar6080/221494960200 블로그) http://naver.me/5zjKj942 #HWPL#전쟁종식#평화협정#살상무기#필리핀#민다나오#이만희 대표#코로나19#종교#생명",https://twitter.com/ppuligipeun/status/1289352887634522114,0,0,,
2020-08-01,00:11:14,ppuligipeun,세계평화의 중심 HWPL(대표: 이만희)과 DPCW 10조 38항 (출처 : 강에 비춰 .. | https://blog.naver.com/riverstar23/221492480384 블로그) http://naver.me/5obefNgO #HWPL#전쟁종식#평화협정#살상무기#필리핀#민다나오#이만희 대표#코로나19#종교#생명,https://twitter.com/ppuligipeun/status/1289352956639240192,0,0,,
2020-08-01,00:11:22,geumjeonggu," 금정구 코로나19 환자 현황(8.1. 09:00 기준) 오늘 추가 확진자는 없습니다. 발열, 기침 등 호흡기 증상이 발생한 경우 바로 의료기관에 방문하지 마시고, 금정구보건소(051-519-5029,5092)연락 후 안내 받으시기 바랍니다. ",https://twitter.com/geumjeonggu/status/1289352989845725184,0,0,,
2020-08-01,00:11:27,pc5560111,코로나19엔 마스크를 생활화합시다,https://twitter.com/pc5560111/status/1289353012037603328,0,0,,
