x,78.42268372,104.15,25.72731628
1,104,112.05,7.6245773
2,109.9661407,109.96,0.0061407
3,108.9523926,109.47,0.5176074
4,108.673317,107.61,1.063317
5,107.3053055,109.82,2.5146945
6,108.9514847,108.79,0.1614847
7,108.4323273,110.16,1.7276727
8,109.1507492,108.52,0.6307492
9,108.4057922,109.92,1.5142078
10,108.7270584,108.54,0.1870584
11,107.8345947,109.33,1.4954053
12,108.4931793,110.73,2.2368207
13,109.5350037,107.69,1.8450037
14,107.1483994,107.63,0.4816006
15,107.5254822,107.84,0.3145178
16,107.5044785,108.23,0.7255215
17,107.2175903,106.71,0.5075903
18,106.6509094,105.33,1.3209094
19,104.8312912,107.89,3.0587088
20,107.2554016,105.58,1.6754016
21,105.6470795,107.65,2.0029205
22,106.5037537,107.52,1.0162463
23,106.3272858,106.6,0.2727142
24,106.2551804,104.88,1.3751804
25,104.7657394,107.42,2.6542606
26,106.7859192,107.3,0.5140808
27,106.5935745,103.89,2.7035745
28,103.9854202,105.63,1.6445798
29,105.5061722,106.5,0.9938278
30,105.9359283,106.41,0.4740717
31,105.9528656,104.68,1.2728656
32,104.3610382,104.91,0.5489618
33,104.4660492,103.29,1.1760492
34,103.3682785,104.75,1.3817215
35,104.2840118,105.4,1.1159882
36,104.3637466,102.66,1.7037466
37,102.9917984,103.76,0.7682016
38,103.5394058,101.61,1.9294058
39,101.2952881,99.03,2.2652881
40,99.42620087,104.26,4.83379913
41,104.1003265,107.6,3.4996735
42,105.9066391,104.11,1.7966391
43,103.955658,105.5,1.544342
44,104.8871918,104.38,0.5071918
45,104.1733017,103.3,0.8733017
46,103.152153,102.45,0.702153
47,102.6347809,105.71,3.0752191
48,104.947052,103.87,1.077052
49,103.5879517,105.45,1.8620483
50,105.0601883,106.88,1.8198117
51,105.7411346,104.47,1.2711346
52,103.6277466,104.46,0.8322534
53,103.8744659,102.32,1.5544659
54,102.0482788,102.12,0.0717212
55,102.5073318,106.29,3.7826682
56,105.3314438,104.1,1.2314438
57,103.7476883,103.59,0.1576883
58,103.3226318,102.75,0.5726318
59,102.6099472,103.98,1.3700528
60,103.9600449,103.86,0.1000449
61,103.6959686,102.08,1.6159686
62,102.2554474,101.96,0.2954474
63,101.9526291,101.66,0.2926291
64,101.8806381,102.65,0.7693619
65,102.7470245,100.13,2.6170245
66,100.4023514,97.53,2.8723514
