,time,rainfall
0,일시,1분 강수량(mm)
5,2019-07-12 00:05,0
10,2019-07-12 00:10,0
15,2019-07-12 00:15,0
20,2019-07-12 00:20,0
25,2019-07-12 00:25,0
30,2019-07-12 00:30,0
35,2019-07-12 00:35,0
40,2019-07-12 00:40,0
45,2019-07-12 00:45,0
50,2019-07-12 00:50,0
55,2019-07-12 00:55,0
60,2019-07-12 01:00,0
65,2019-07-12 01:05,0
70,2019-07-12 01:10,0
75,2019-07-12 01:15,0
80,2019-07-12 01:20,0
85,2019-07-12 01:25,0
90,2019-07-12 01:30,0
95,2019-07-12 01:35,0
100,2019-07-12 01:40,0
105,2019-07-12 01:45,0
110,2019-07-12 01:50,0
115,2019-07-12 01:55,0
120,2019-07-12 02:00,0
125,2019-07-12 02:05,0
130,2019-07-12 02:10,0
135,2019-07-12 02:15,0
140,2019-07-12 02:20,0
145,2019-07-12 02:25,0
150,2019-07-12 02:30,0
155,2019-07-12 02:35,0
160,2019-07-12 02:40,0
165,2019-07-12 02:45,0
170,2019-07-12 02:50,0
175,2019-07-12 02:55,0
180,2019-07-12 03:00,0
185,2019-07-12 03:05,0
190,2019-07-12 03:10,0
195,2019-07-12 03:15,0
200,2019-07-12 03:20,0
205,2019-07-12 03:25,0
210,2019-07-12 03:30,0
215,2019-07-12 03:35,0
220,2019-07-12 03:40,0
225,2019-07-12 03:45,0
230,2019-07-12 03:50,0
235,2019-07-12 03:55,0
240,2019-07-12 04:00,0
245,2019-07-12 04:05,0
250,2019-07-12 04:10,0
255,2019-07-12 04:15,0
260,2019-07-12 04:20,0
265,2019-07-12 04:25,0
270,2019-07-12 04:30,0
275,2019-07-12 04:35,0
280,2019-07-12 04:40,0
285,2019-07-12 04:45,0
290,2019-07-12 04:50,0
295,2019-07-12 04:55,0
300,2019-07-12 05:00,0
305,2019-07-12 05:05,0
310,2019-07-12 05:10,0
315,2019-07-12 05:15,0
320,2019-07-12 05:20,0
325,2019-07-12 05:25,0
330,2019-07-12 05:30,0
335,2019-07-12 05:35,0
340,2019-07-12 05:40,0
345,2019-07-12 05:45,0
350,2019-07-12 05:50,0
355,2019-07-12 05:55,0
360,2019-07-12 06:00,0
365,2019-07-12 06:05,0
370,2019-07-12 06:10,0
375,2019-07-12 06:15,0
380,2019-07-12 06:20,0
