,time,rainfall
0,일시,1분 강수량(mm)
5,2019-06-29 00:05,0
10,2019-06-29 00:10,0
15,2019-06-29 00:15,0
20,2019-06-29 00:20,0
25,2019-06-29 00:25,0
30,2019-06-29 00:30,0
35,2019-06-29 00:35,0
40,2019-06-29 00:40,0
45,2019-06-29 00:45,0
50,2019-06-29 00:50,0
55,2019-06-29 00:55,0
60,2019-06-29 01:00,0
65,2019-06-29 01:05,0
70,2019-06-29 01:10,0
75,2019-06-29 01:15,0
80,2019-06-29 01:20,0
85,2019-06-29 01:25,0
90,2019-06-29 01:30,0
95,2019-06-29 01:35,0
100,2019-06-29 17:53,0
105,2019-06-29 17:58,0
110,2019-06-29 18:03,0
115,2019-06-29 18:08,0
120,2019-06-29 18:13,0
125,2019-06-29 18:18,0
130,2019-06-29 18:23,0
135,2019-06-29 18:28,0
140,2019-06-29 18:33,0
145,2019-06-29 18:38,0
150,2019-06-29 18:43,0
155,2019-06-29 18:48,0
160,2019-06-29 18:53,0
165,2019-06-29 18:58,0
170,2019-06-29 19:03,0
175,2019-06-29 19:08,0
180,2019-06-29 19:13,0
185,2019-06-29 19:18,0
190,2019-06-29 19:23,0
195,2019-06-29 19:28,0
200,2019-06-29 19:33,0
205,2019-06-29 19:38,0
210,2019-06-29 19:43,0
215,2019-06-29 19:48,0
220,2019-06-29 19:53,0
225,2019-06-29 19:58,0
230,2019-06-29 20:03,0
235,2019-06-29 20:08,0
240,2019-06-29 20:13,0
245,2019-06-29 20:18,0
250,2019-06-29 20:23,0
255,2019-06-29 20:28,0
260,2019-06-29 20:33,0
265,2019-06-29 20:38,0
270,2019-06-29 20:43,0
275,2019-06-29 20:48,0
280,2019-06-29 20:53,0
285,2019-06-29 20:58,0
290,2019-06-29 21:03,0
295,2019-06-29 21:08,0
300,2019-06-29 21:13,0
305,2019-06-29 21:18,0
310,2019-06-29 21:23,0
315,2019-06-29 21:28,0
320,2019-06-29 21:33,0
325,2019-06-29 21:38,0
330,2019-06-29 21:43,0
335,2019-06-29 21:48,0
340,2019-06-29 21:53,0
345,2019-06-29 21:58,0
350,2019-06-29 22:03,0
355,2019-06-29 22:08,0
360,2019-06-29 22:13,0
365,2019-06-29 22:18,0
370,2019-06-29 22:23,0
375,2019-06-29 22:28,0
380,2019-06-29 22:33,0
385,2019-06-29 22:38,0
390,2019-06-29 22:43,0
395,2019-06-29 22:48,0
400,2019-06-29 22:53,0
405,2019-06-29 22:58,0
410,2019-06-29 23:03,0
415,2019-06-29 23:08,0
420,2019-06-29 23:13,0
425,2019-06-29 23:18,0
430,2019-06-29 23:23,0
435,2019-06-29 23:28,0
440,2019-06-29 23:33,0
445,2019-06-29 23:38,0
450,2019-06-29 23:43,0
455,2019-06-29 23:48,0
460,2019-06-29 23:53,0
465,2019-06-29 23:58,0
